# first,last,id,gender,joindate,latitude,longitude,city,state,country,checkin count
ROSALIE,WRIGHT,26,F,2009-09-21,37.4236,-122.1619,Stanford,California,US,27
NORA,BUCHANAN,96,F,2009-08-25,37.7509,-122.4153,San Francisco,California,US,250
WALLACE,DARNELL,172,M,2009-06-02,30.2713,-97.7426,Austin,Texas,US,373
ERNEST,KRAUSE,174,M,2009-10-22,21.2811,-157.8266,Honolulu,Hawaii,US,650
DALE,TURNER,181,M,2009-12-19,30.2713,-97.7426,Austin,Texas,US,23
LOIS,ALVARADO,196,F,2010-03-26,48.1178,16.6064,Fischamend,Niederösterreich,AT,1
DENNIS,MAR,253,M,2009-03-13,30.2713,-97.7426,Austin,Texas,US,48
RICHARD,MARIN,393,M,2010-02-20,39.4059,-84.5221,Hamilton,Ohio,US,173
BERNARD,CLARK,490,M,2009-03-14,30.4521,-97.7688,Austin,Texas,US,1123
JOSEPH,AYALA,677,M,2009-12-16,-33.9277,18.3999,Cape Town,,ZA,613
LONNIE,BERRY,796,M,2010-06-18,53.4809,-2.2374,Manchester,England,GB,200
DAVID,APRIL,1105,M,2010-07-07,-26.05,28.0333,Bryanston,,ZA,225
JOSHUA,HOLCOMB,1645,M,2010-09-28,59.6352,17.9125,Stockholm-Arlanda,,SE,75
DANIEL,SCHOLL,1693,M,2010-05-01,-26.1083,28.175,Gauteng,,ZA,98
STEPHEN,PADILLA,1838,M,6/13/09,,,,,,
JOSE,ALFARO,2016,M,5/23/11,,,,,,
BETTY,SMITH,2020,F,2010-10-11,35.87,-83.7495,Seymour,Tennessee,US,25
JOYCE,HINES,2644,F,2010-06-30,38.2422,-85.5353,Louisville,Kentucky,US,64
BRENT,WHITE,2721,M,2009-12-12,30.1802,-97.6667,Austin,Texas,US,180
BARBARA,JOHNSON,2790,F,2010-04-20,38.5539,-121.3693,Sacramento,California,US,168
FAITH,FRAZIER,2960,F,2009-11-22,28.4174,-81.3328,Orlando,Florida,US,460
KATHLEEN,GOULD,3167,F,2009-11-13,33.5908,-112.3013,Youngtown,Arizona,US,1371
JARROD,LAWSON,3658,M,12/29/11,,,,,,
STEPHEN,RAMIREZ,3684,M,2009-11-16,30.2713,-97.7426,Austin,Texas,US,405
ROBIN,BOYKIN,3737,M,3/8/11,,,,,,
JOHN,BYRD,3800,M,2009-11-03,30.4036,-97.7526,Austin,Texas,US,141
CAROLE,PARKER,3832,F,2010-06-02,37.7587,-122.433,San Francisco,California,US,1
CARLA,BEGGS,3993,F,2010-03-11,30.352,-97.7151,Austin,Texas,US,127
ANDRES,FLORY,4026,M,2009-10-07,30.4036,-97.7526,Austin,Texas,US,40
WILLIE,MCCOY,4033,M,2009-12-13,37.5605,-121.9999,Fremont,California,US,6
COREY,GREGORY,4115,M,2010-03-31,-26.0333,27.9833,Four Ways,,ZA,18
JAY,NICHOLS,4151,M,2010-03-06,30.3223,-97.739,Austin,Texas,US,533
MARIE,MCDOWELL,4180,F,8/30/09,,,,,,
GLADYS,PETTY,4236,F,2009-12-09,37.6216,-122.3929,San Francisco,California,US,53
TOMMY,STONE,4237,M,2009-10-30,37.7587,-122.433,San Francisco,California,US,151
JIMMY,GAGNIER,4243,M,2009-10-08,37.7587,-122.433,San Francisco,California,US,52
DENNIS,MILLER,4389,M,2009-06-20,37.745,-122.4383,San Francisco,California,US,218
ANN,WAINSCOTT,4409,F,2010-03-13,37.7509,-122.4153,San Francisco,California,US,3
HYACINTH,BUMGARNER,4496,F,2010-01-07,28.5974,-81.3036,Winter Park,Florida,US,1625
JOSEFINA,DIXON,4671,F,2010-03-06,52.374,4.8897,Amsterdam,Provincie Noord-Holland,NL,2
JILLIAN,BENAVIDES,4716,F,2010-05-29,34.0176,-118.4907,Santa Monica,California,US,12
JON,SINCLAIR,5072,M,2010-01-09,37.7621,-122.3971,San Francisco,California,US,150
CHRISTOPHER,MEANEY,5074,M,2010-09-10,37.2296,-121.9834,Los Gatos,California,US,25
PEGGY,HARGROVE,5089,F,2010-05-09,37.7509,-122.4153,San Francisco,California,US,50
BENJAMIN,WILLIAMS,5095,M,11/23/10,,,,,,
JACK,LOCKWOOD,5117,M,2010-03-23,41.9978,-72.4583,Somers,Connecticut,US,50
EDWARD,THOMPSON,5145,M,2009-10-03,30.2713,-97.7426,Austin,Texas,US,75
LURA,LUSK,5475,F,5/31/10,,,,,,
ELIZABETH,HOLLINGSWORTH,5729,F,2010-01-13,30.2428,-97.7658,Austin,Texas,US,278
MAURICE,GLADDEN,5783,M,2010-01-09,37.8126,-122.2443,Oakland,California,US,43
PAM,LANGSTON,5920,F,2009-11-04,53.4206,-1.4211,Wincobank,England,GB,219
DONALD,KLINE,5927,M,2010-05-05,-26.1444,28.0944,Marianhill,,ZA,201
GARY,BARB,5961,M,2010-08-27,42.5016,-83.1027,Madison Heights,Michigan,US,1
EDNA,NOLAND,6220,F,2009-11-14,33.9797,-117.7308,Chino Hills,California,US,656
PETER,CARR,6323,M,2009-09-13,25.7378,-80.2248,Miami,Florida,US,584
DANIEL,WISE,6325,M,12/3/09,,,,,,
FRANCIS,KEY,6385,M,2009-10-08,37.418,-122.1274,Palo Alto,California,US,56
WALTER,GONZALES,6404,M,2010-05-18,30.2428,-97.7658,Austin,Texas,US,125
RICHARD,WEEKS,6480,M,2009-12-15,37.4969,-122.2674,San Carlos,California,US,103
WILLIAM,COLLINS,6486,M,10/31/10,,,,,,
WILLIAM,THOMAS,6526,M,4/15/10,,,,,,
ROBERT,JOHNSON,6588,M,2010-03-14,30.2713,-97.7426,Austin,Texas,US,17
CHARLES,MENDEZ,6832,M,9/17/11,,,,,,
DENISE,PIERCE,6992,F,2009-10-11,39.6971,-105.1204,Denver,Colorado,US,201
PHYLIS,PURNELL,6994,F,2010-04-06,53.4809,-2.2374,Manchester,England,GB,161
JOHNATHAN,PATTERSON,7059,M,2010-03-30,28.248,-81.2876,Saint Cloud,Florida,US,50
MATTHEW,JONES,7158,M,2009-11-19,28.5974,-81.3036,Winter Park,Florida,US,111
LARRY,MASI,7181,M,2010-04-30,33.6648,-117.7289,Irvine,California,US,25
JESSICA,PEREZ,7290,F,2009-03-31,30.2713,-97.7426,Austin,Texas,US,82
JAMIE,PETTAWAY,7309,F,2009-10-28,35.2493,-106.6818,Rio Rancho,New Mexico,US,207
MELVIN,FISHER,7430,M,2010-02-09,40.5,-80.1996,Coraopolis,Pennsylvania,US,136
GORDON,CURRY,7459,M,2009-11-07,27.9425,-82.5057,Tampa,Florida,US,234
JEANNE,CURRY,7556,F,2010-06-16,35.3664,-77.9221,Goldsboro,North Carolina,US,75
WILMA,SIMONS,7633,F,2009-12-15,37.7864,-122.3892,San Francisco,California,US,1
BELL,TEEGARDEN,7651,F,2010-06-27,32.5316,-97.309,Burleson,Texas,US,66
NATALIE,SMITH,7722,F,2010-10-03,33.5819,-101.8778,Lubbock,Texas,US,50
NORA,DEGUZMAN,7768,F,2010-10-10,47.7467,-122.3686,Seattle,Washington,US,25
JOHN,GAYTAN,7833,M,2010-04-22,35.8392,-82.1962,Micaville,North Carolina,US,50
MARIA,HARRIS,8126,F,2010-03-13,32.831,-96.7692,Dallas,Texas,US,50
TRACY,CHITTY,8209,M,12/7/11,,,,,,
TAMELA,BLOCH,8218,F,2009-11-07,28.5419,-81.3791,Orlando,Florida,US,30
JAMES,QUAN,8353,M,8/26/09,,,,,,
MELVIN,BOYD,8599,M,2010-03-11,48.8637,2.3615,Paris 03 Temple,Île-de-France,FR,1
JULIO,MACDONALD,8743,M,2010-01-02,30.7142,-95.5508,Huntsville,Texas,US,462
STEPHEN,BARNES,8810,M,2010-04-01,30.2713,-97.7426,Austin,Texas,US,75
